"Participant","QuestionType","Topic","QuestionID","Condition","MIST"
"ntx88c43pw","fake","covid","3","Pretest",78
"ntx88c43pw","fake","general","8","Pretest",0
"ntx88c43pw","fake","general","15","Pretest",20
"ntx88c43pw","fake","general","10","Pretest",50
"ntx88c43pw","real","general","4","Pretest",50
"ntx88c43pw","real","general","3","Pretest",31
"ntx88c43pw","real","general","21","Pretest",78
"ntx88c43pw","real","covid","4","Pretest",23
"ntx88c43pw","fake","general","3","Pretest",0
"ntx88c43pw","real","general","30","Pretest",36
"ntx88c43pw","real","general","22","Pretest",74
"ntx88c43pw","fake","general","16","Pretest",0
"ntx88c43pw","fake","general","1","Pretest",0
"ntx88c43pw","real","general","7","Pretest",0
"ntx88c43pw","fake","general","28","Pretest",0
"ntx88c43pw","fake","covid","9","Pretest",0
"ntx88c43pw","fake","general","7","Pretest",0
"ntx88c43pw","real","covid","6","Pretest",75
"ntx88c43pw","fake","covid","7","Pretest",78
"ntx88c43pw","fake","general","2","Pretest",0
"ntx88c43pw","fake","covid","1","Pretest",71
"ntx88c43pw","fake","general","14","Pretest",0
"ntx88c43pw","fake","covid","2","Pretest",23
"ntx88c43pw","fake","general","21","Pretest",0
"ntx88c43pw","real","general","1","Pretest",20
"ntx88c43pw","real","covid","5","Pretest",73
"ntx88c43pw","fake","general","19","Pretest",9
"ntx88c43pw","real","general","8","Pretest",0
"ntx88c43pw","real","general","11","Pretest",0
"ntx88c43pw","fake","general","17","Pretest",0
"ntx88c43pw","fake","general","13","Pretest",0
"ntx88c43pw","real","general","9","Pretest",24
"ntx88c43pw","real","general","6","Pretest",50
"ntx88c43pw","real","general","28","Pretest",14
"ntx88c43pw","real","covid","9","Pretest",78
"ntx88c43pw","real","covid","1","Pretest",19
"ntx88c43pw","real","general","12","Pretest",0
"ntx88c43pw","real","general","29","Pretest",88
"ntx88c43pw","fake","general","29","Pretest",0
"ntx88c43pw","real","general","25","Pretest",85
"ntx88c43pw","real","general","5","Posttest",30
"ntx88c43pw","real","general","10","Posttest",76
"ntx88c43pw","fake","general","20","Posttest",0
"ntx88c43pw","real","general","14","Posttest",0
"ntx88c43pw","fake","general","5","Posttest",0
"ntx88c43pw","real","covid","10","Posttest",81
"ntx88c43pw","fake","general","12","Posttest",0
"ntx88c43pw","real","covid","8","Posttest",83
"ntx88c43pw","real","general","19","Posttest",51
"ntx88c43pw","real","general","26","Posttest",77
"ntx88c43pw","real","general","2","Posttest",50
"ntx88c43pw","fake","covid","5","Posttest",75
"ntx88c43pw","fake","general","30","Posttest",16
"ntx88c43pw","real","general","24","Posttest",80
"ntx88c43pw","real","general","23","Posttest",73
"ntx88c43pw","real","general","16","Posttest",84
"ntx88c43pw","fake","general","9","Posttest",0
"ntx88c43pw","real","general","13","Posttest",5
"ntx88c43pw","fake","general","25","Posttest",0
"ntx88c43pw","fake","general","24","Posttest",2
"ntx88c43pw","fake","covid","10","Posttest",35
"ntx88c43pw","fake","general","26","Posttest",7
"ntx88c43pw","fake","general","18","Posttest",20
"ntx88c43pw","real","covid","3","Posttest",80
"ntx88c43pw","fake","general","6","Posttest",4
"ntx88c43pw","real","general","17","Posttest",50
"ntx88c43pw","real","general","27","Posttest",82
"ntx88c43pw","fake","covid","8","Posttest",23
"ntx88c43pw","fake","general","27","Posttest",0
"ntx88c43pw","fake","general","11","Posttest",0
"ntx88c43pw","fake","covid","6","Posttest",74
"ntx88c43pw","fake","general","4","Posttest",0
"ntx88c43pw","real","general","20","Posttest",50
"ntx88c43pw","real","covid","7","Posttest",49
"ntx88c43pw","fake","general","23","Posttest",0
"ntx88c43pw","real","general","31","Posttest",50
"ntx88c43pw","real","general","15","Posttest",0
"ntx88c43pw","real","general","18","Posttest",40
"ntx88c43pw","fake","general","22","Posttest",0
"ntx88c43pw","real","covid","2","Posttest",82
"ntx88c43pw","fake","covid","4","Posttest",0
"cc9x6sbyz1","real","general","25","Pretest",84
"cc9x6sbyz1","real","general","13","Pretest",0
"cc9x6sbyz1","fake","covid","4","Pretest",23
"cc9x6sbyz1","fake","covid","9","Pretest",100
"cc9x6sbyz1","fake","general","28","Pretest",18
"cc9x6sbyz1","real","covid","1","Pretest",0
"cc9x6sbyz1","fake","general","4","Pretest",17
"cc9x6sbyz1","fake","general","16","Pretest",0
"cc9x6sbyz1","real","general","17","Pretest",2
"cc9x6sbyz1","fake","general","21","Pretest",84
"cc9x6sbyz1","fake","general","17","Pretest",0
"cc9x6sbyz1","real","covid","4","Pretest",0
"cc9x6sbyz1","real","general","7","Pretest",65
"cc9x6sbyz1","fake","general","25","Pretest",0
"cc9x6sbyz1","fake","general","3","Pretest",0
"cc9x6sbyz1","real","covid","6","Pretest",72
"cc9x6sbyz1","fake","general","18","Pretest",1
"cc9x6sbyz1","real","general","24","Pretest",0
"cc9x6sbyz1","real","general","8","Pretest",5
"cc9x6sbyz1","fake","general","24","Pretest",1
"cc9x6sbyz1","fake","covid","1","Pretest",0
"cc9x6sbyz1","real","general","28","Pretest",26
"cc9x6sbyz1","fake","general","2","Pretest",0
"cc9x6sbyz1","real","covid","3","Pretest",42
"cc9x6sbyz1","fake","general","14","Pretest",0
"cc9x6sbyz1","fake","general","26","Pretest",0
"cc9x6sbyz1","fake","general","23","Pretest",64
"cc9x6sbyz1","real","general","27","Pretest",0
"cc9x6sbyz1","real","general","14","Pretest",0
"cc9x6sbyz1","real","general","16","Pretest",1
"cc9x6sbyz1","real","general","9","Pretest",67
"cc9x6sbyz1","fake","covid","3","Pretest",0
"cc9x6sbyz1","fake","general","5","Pretest",0
"cc9x6sbyz1","fake","general","29","Pretest",0
"cc9x6sbyz1","real","general","5","Pretest",0
"cc9x6sbyz1","real","general","20","Pretest",0
"cc9x6sbyz1","real","general","15","Pretest",100
"cc9x6sbyz1","real","covid","2","Pretest",98
"cc9x6sbyz1","real","general","30","Pretest",0
"cc9x6sbyz1","fake","covid","5","Pretest",41
"cc9x6sbyz1","real","general","4","Posttest",19
"cc9x6sbyz1","fake","general","8","Posttest",98
"cc9x6sbyz1","real","covid","10","Posttest",74
"cc9x6sbyz1","fake","general","1","Posttest",8
"cc9x6sbyz1","fake","general","13","Posttest",69
"cc9x6sbyz1","fake","general","19","Posttest",11
"cc9x6sbyz1","fake","general","11","Posttest",16
"cc9x6sbyz1","real","covid","9","Posttest",19
"cc9x6sbyz1","fake","general","12","Posttest",8
"cc9x6sbyz1","real","general","29","Posttest",7
"cc9x6sbyz1","fake","general","6","Posttest",17
"cc9x6sbyz1","real","general","31","Posttest",83
"cc9x6sbyz1","fake","covid","8","Posttest",86
"cc9x6sbyz1","fake","general","15","Posttest",91
"cc9x6sbyz1","real","covid","8","Posttest",90
"cc9x6sbyz1","real","covid","7","Posttest",0
"cc9x6sbyz1","real","general","6","Posttest",11
"cc9x6sbyz1","fake","general","27","Posttest",1
"cc9x6sbyz1","real","general","11","Posttest",0
"cc9x6sbyz1","fake","general","20","Posttest",84
"cc9x6sbyz1","real","general","23","Posttest",5
"cc9x6sbyz1","real","general","2","Posttest",13
"cc9x6sbyz1","real","general","26","Posttest",6
"cc9x6sbyz1","real","general","18","Posttest",9
"cc9x6sbyz1","real","general","12","Posttest",11
"cc9x6sbyz1","real","general","1","Posttest",7
"cc9x6sbyz1","fake","covid","7","Posttest",10
"cc9x6sbyz1","fake","general","22","Posttest",10
"cc9x6sbyz1","real","general","22","Posttest",96
"cc9x6sbyz1","fake","general","7","Posttest",0
"cc9x6sbyz1","real","general","21","Posttest",1
"cc9x6sbyz1","fake","general","30","Posttest",88
"cc9x6sbyz1","real","covid","5","Posttest",0
"cc9x6sbyz1","fake","covid","10","Posttest",5
"cc9x6sbyz1","fake","general","10","Posttest",10
"cc9x6sbyz1","fake","covid","2","Posttest",99
"cc9x6sbyz1","real","general","3","Posttest",50
"cc9x6sbyz1","fake","general","9","Posttest",4
"cc9x6sbyz1","fake","covid","6","Posttest",10
"cc9x6sbyz1","real","general","19","Posttest",2
"cc9x6sbyz1","real","general","10","Posttest",4
"k320cnq7w9","fake","general","4","Pretest",62
"k320cnq7w9","fake","general","28","Pretest",56
"k320cnq7w9","fake","general","24","Pretest",78
"k320cnq7w9","real","covid","8","Pretest",65
"k320cnq7w9","fake","general","12","Pretest",60
"k320cnq7w9","real","covid","9","Pretest",9
"k320cnq7w9","fake","general","22","Pretest",30
"k320cnq7w9","fake","covid","9","Pretest",73
"k320cnq7w9","real","general","13","Pretest",67
"k320cnq7w9","fake","general","23","Pretest",63
"k320cnq7w9","real","general","9","Pretest",75
"k320cnq7w9","real","general","30","Pretest",86
"k320cnq7w9","real","general","24","Pretest",67
"k320cnq7w9","real","general","28","Pretest",66
"k320cnq7w9","fake","covid","1","Pretest",65
"k320cnq7w9","fake","general","13","Pretest",32
"k320cnq7w9","fake","general","20","Pretest",33
"k320cnq7w9","fake","covid","8","Pretest",39
"k320cnq7w9","fake","general","7","Pretest",37
"k320cnq7w9","fake","general","19","Pretest",44
