Participant,Pretest_fake_covid_3,Pretest_fake_general_8,Pretest_fake_general_15,Pretest_fake_general_10,Pretest_real_general_4,Pretest_real_general_3,Pretest_real_general_21,Pretest_real_covid_4,Pretest_fake_general_3,Pretest_real_general_30,Pretest_real_general_22,Pretest_fake_general_16,Pretest_fake_general_1,Pretest_real_general_7,Pretest_fake_general_28,Pretest_fake_covid_9,Pretest_fake_general_7,Pretest_real_covid_6,Pretest_fake_covid_7,Pretest_fake_general_2,Pretest_fake_covid_1,Pretest_fake_general_14,Pretest_fake_covid_2,Pretest_fake_general_21,Pretest_real_general_1,Pretest_real_covid_5,Pretest_fake_general_19,Pretest_real_general_8,Pretest_real_general_11,Pretest_fake_general_17,Pretest_fake_general_13,Pretest_real_general_9,Pretest_real_general_6,Pretest_real_general_28,Pretest_real_covid_9,Pretest_real_covid_1,Pretest_real_general_12,Pretest_real_general_29,Pretest_fake_general_29,Pretest_real_general_25,Posttest_real_general_5,Posttest_real_general_10,Posttest_fake_general_20,Posttest_real_general_14,Posttest_fake_general_5,Posttest_real_covid_10,Posttest_fake_general_12,Posttest_real_covid_8,Posttest_real_general_19,Posttest_real_general_26,Posttest_real_general_2,Posttest_fake_covid_5,Posttest_fake_general_30,Posttest_real_general_24,Posttest_real_general_23,Posttest_real_general_16,Posttest_fake_general_9,Posttest_real_general_13,Posttest_fake_general_25,Posttest_fake_general_24,Posttest_fake_covid_10,Posttest_fake_general_26,Posttest_fake_general_18,Posttest_real_covid_3,Posttest_fake_general_6,Posttest_real_general_17,Posttest_real_general_27,Posttest_fake_covid_8,Posttest_fake_general_27,Posttest_fake_general_11,Posttest_fake_covid_6,Posttest_fake_general_4,Posttest_real_general_20,Posttest_real_covid_7,Posttest_fake_general_23,Posttest_real_general_31,Posttest_real_general_15,Posttest_real_general_18,Posttest_fake_general_22,Posttest_real_covid_2,Posttest_fake_covid_4,Pretest_real_general_13,Pretest_fake_covid_4,Pretest_fake_general_4,Pretest_real_general_17,Pretest_fake_general_25,Pretest_fake_general_18,Pretest_real_general_24,Pretest_fake_general_24,Pretest_real_covid_3,Pretest_fake_general_26,Pretest_fake_general_23,Pretest_real_general_27,Pretest_real_general_14,Pretest_real_general_16,Pretest_fake_general_5,Pretest_real_general_5,Pretest_real_general_20,Pretest_real_general_15,Pretest_real_covid_2,Pretest_fake_covid_5,Posttest_real_general_4,Posttest_fake_general_8,Posttest_fake_general_1,Posttest_fake_general_13,Posttest_fake_general_19,Posttest_real_covid_9,Posttest_real_general_29,Posttest_fake_general_15,Posttest_real_general_6,Posttest_real_general_11,Posttest_real_general_12,Posttest_real_general_1,Posttest_fake_covid_7,Posttest_real_general_22,Posttest_fake_general_7,Posttest_real_general_21,Posttest_real_covid_5,Posttest_fake_general_10,Posttest_fake_covid_2,Posttest_real_general_3,Pretest_real_covid_8,Pretest_fake_general_12,Pretest_fake_general_22,Pretest_fake_general_20,Pretest_fake_covid_8,Pretest_real_general_31,Pretest_real_covid_7,Pretest_real_general_19,Pretest_real_general_2,Pretest_real_general_26,Pretest_fake_general_9,Posttest_fake_general_2,Posttest_real_general_8,Posttest_fake_general_3,Posttest_fake_covid_3,Posttest_real_covid_6,Posttest_real_covid_1,Posttest_fake_general_21,Posttest_fake_general_14,Posttest_fake_general_17,Posttest_real_general_7,Pretest_real_general_18,Pretest_fake_general_30,Pretest_fake_general_11,Pretest_real_general_10,Pretest_real_covid_10,Pretest_fake_covid_10,Pretest_fake_general_6,Posttest_fake_general_29,Posttest_fake_general_28,Posttest_real_general_30,Posttest_real_covid_4,Posttest_fake_general_16,Posttest_real_general_9,Posttest_real_general_28,Pretest_fake_general_27,Posttest_fake_covid_9,Pretest_real_general_23,Pretest_fake_covid_6,Posttest_fake_covid_1,Posttest_real_general_25
ntx88c43pw,78,0,20,50,50,31,78,23,0,36,74,0,0,0,0,0,0,75,78,0,71,0,23,0,20,73,9,0,0,0,0,24,50,14,78,19,0,88,0,85,30,76,0,0,0,81,0,83,51,77,50,75,16,80,73,84,0,5,0,2,35,7,20,80,4,50,82,23,0,0,74,0,50,49,0,50,0,40,0,82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cc9x6sbyz1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,65,18,100,NA,72,NA,0,0,0,NA,84,NA,NA,NA,5,NA,0,NA,67,NA,26,NA,0,NA,NA,0,84,NA,4,84,NA,NA,74,8,90,2,6,13,NA,88,NA,5,NA,4,NA,NA,NA,5,NA,NA,NA,17,NA,NA,86,1,16,10,NA,NA,0,NA,83,NA,9,10,NA,NA,0,23,17,2,0,1,0,1,42,0,64,0,0,1,0,0,0,100,98,41,19,98,8,69,11,19,7,91,11,0,11,7,10,96,0,1,0,10,99,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k320cnq7w9,NA,NA,NA,NA,NA,37,NA,56,NA,86,40,60,63,NA,56,73,37,NA,55,NA,65,NA,42,NA,NA,NA,44,NA,NA,NA,32,75,NA,66,9,NA,NA,NA,54,60,NA,58,NA,NA,58,56,NA,NA,NA,NA,NA,43,40,NA,37,34,NA,NA,40,NA,24,59,NA,56,34,59,NA,NA,71,30,40,NA,69,NA,NA,NA,45,57,NA,NA,40,67,NA,62,NA,NA,37,67,78,NA,NA,63,55,55,NA,NA,39,NA,NA,54,NA,38,58,NA,NA,NA,NA,31,44,34,41,49,41,NA,NA,NA,39,56,45,NA,NA,65,60,30,33,39,38,39,56,55,55,57,74,39,38,68,58,58,41,39,39,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6w3h4a9sf,0,NA,50,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0,100,0,NA,NA,NA,0,0,100,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,50,50,0,0,NA,NA,0,100,0,NA,NA,0,NA,0,0,NA,NA,50,50,50,50,NA,100,NA,50,0,0,NA,50,NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,50,NA,50,0,NA,NA,0,0,NA,0,NA,0,50,NA,0,50,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,50,50,0,0,0,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
464kbygen5,100,0,0,100,61,73,NA,100,NA,NA,NA,NA,0,0,0,88,0,100,NA,NA,100,59,23,0,NA,NA,NA,NA,0,NA,NA,NA,100,NA,NA,NA,NA,85,0,91,100,NA,0,NA,0,NA,NA,100,NA,84,0,100,NA,NA,100,100,0,NA,0,NA,66,NA,NA,100,0,100,NA,NA,0,0,100,0,NA,NA,NA,NA,78,100,0,NA,0,75,NA,NA,NA,NA,0,100,0,NA,0,0,78,0,NA,NA,NA,88,NA,100,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,0,100,100,58,NA,68,100,NA,NA,NA,NA,75,NA,NA,0,84,100,50,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,100,NA,NA,NA,NA,34,NA,0,0,96,NA,NA,NA,NA,NA,NA
ruw76lyn49,32,NA,NA,31,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0,28,30,NA,27,NA,0,37,37,NA,NA,0,NA,24,NA,1,NA,0,0,NA,38,NA,NA,32,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,23,0,63,NA,30,0,37,2,19,29,4,26,NA,NA,NA,NA,0,NA,38,NA,0,0,0,0,0,NA,0,0,12,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,39,NA,NA,31,NA,NA,37,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,33,28,NA,26,31,NA,NA,0,NA,0,0,0,NA,NA,0,15,NA,NA,NA,NA
vqzpa3nr5a,NA,NA,NA,71,NA,NA,61,NA,NA,NA,61,NA,NA,NA,14,60,0,NA,60,NA,NA,39,NA,NA,54,65,55,NA,NA,NA,4,0,NA,56,NA,NA,0,NA,52,NA,57,NA,6,NA,NA,NA,10,NA,59,34,NA,100,0,61,NA,NA,NA,NA,NA,3,NA,10,NA,66,NA,NA,55,57,0,NA,NA,40,NA,NA,NA,39,57,NA,NA,NA,NA,0,0,NA,72,22,59,NA,NA,NA,NA,0,NA,0,60,63,NA,58,NA,66,NA,31,0,0,NA,NA,63,73,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,0,61,76,NA,40,NA,NA,NA,59,NA,70,NA,0,3,41,0,79,58,56,40,NA,0,0,70,NA,24,64,73,40,52,NA,NA,76,61,0,NA,NA,NA,NA,80,26,58,62
uc0u68m518,NA,55,NA,NA,0,80,NA,NA,NA,30,NA,0,25,NA,0,56,NA,78,58,0,NA,0,NA,0,NA,NA,0,38,NA,0,0,32,89,65,66,NA,0,NA,NA,64,56,0,0,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,63,73,68,0,0,NA,0,NA,0,0,NA,0,NA,70,0,0,0,NA,16,NA,50,NA,66,68,56,NA,76,0,NA,NA,NA,58,24,NA,NA,NA,89,NA,0,NA,0,NA,0,NA,55,NA,NA,90,NA,NA,NA,NA,NA,NA,79,0,NA,0,NA,58,NA,4,0,80,71,85,0,NA,68,NA,0,NA,NA,NA,NA,55,30,53,NA,NA,NA,0,27,NA,0,NA,NA,NA,0,NA,0,NA,NA,80,0,NA,0,NA,NA,81,NA,NA,NA,NA,NA,NA,81,68,NA
5hssxw7rtk,0,NA,NA,0,NA,100,NA,8,NA,100,NA,0,NA,NA,NA,NA,2,100,NA,89,NA,NA,83,0,88,NA,NA,NA,0,NA,11,NA,NA,65,NA,NA,0,NA,0,87,NA,NA,NA,0,0,NA,NA,100,NA,NA,5,NA,0,13,NA,50,NA,NA,NA,NA,0,39,19,NA,NA,16,NA,72,NA,0,NA,0,76,86,0,100,38,NA,NA,NA,NA,0,0,NA,NA,5,NA,NA,0,93,NA,NA,100,NA,NA,NA,8,NA,NA,0,100,68,0,70,NA,50,100,21,0,63,NA,NA,NA,91,64,NA,100,27,NA,NA,NA,NA,0,0,0,NA,NA,NA,91,NA,87,5,NA,0,78,NA,NA,68,NA,0,0,93,65,NA,NA,0,88,NA,0,NA,0,NA,NA,NA,0,NA,0,12,100,68,94,NA
mlcxwn1kwp,NA,NA,19,100,NA,100,NA,NA,NA,NA,NA,NA,NA,65,NA,43,NA,NA,89,100,NA,NA,NA,NA,NA,81,100,100,NA,0,NA,8,100,91,100,79,NA,94,NA,91,NA,NA,NA,0,NA,NA,NA,89,38,NA,NA,NA,NA,100,88,NA,16,0,NA,100,NA,86,90,NA,NA,NA,NA,0,NA,NA,86,NA,100,22,NA,76,100,89,100,100,NA,NA,0,0,100,96,NA,NA,NA,20,NA,0,61,NA,58,81,91,NA,NA,NA,80,80,57,0,56,NA,NA,NA,NA,NA,0,0,100,NA,80,0,90,NA,NA,82,NA,NA,94,NA,100,NA,NA,NA,NA,100,95,NA,NA,NA,61,50,100,NA,100,76,NA,NA,NA,5,43,0,86,81,0,81,88,100,74,77,NA,NA,53,NA,NA,NA,78,NA
