"Participant","Item","Realness","Condition","Nature","Topic","Intervention","Correct","True_Positive","True_Negative","False_Positive","False_Negative"
"S001","MIST_fake_general_19",0.65,"Pretest","Fake","General","BadNewsGame",0,0,0,0,1
"S001","MIST_fake_covid_8",0.62,"Pretest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_fake_covid_9",0.79,"Pretest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_real_general_30",0.33,"Pretest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_real_covid_8",0.67,"Pretest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_10",0.6,"Pretest","Fake","General","BadNewsGame",0,0,0,0,1
"S001","MIST_fake_general_2",0.66,"Pretest","Fake","General","BadNewsGame",0,0,0,0,1
"S001","MIST_real_covid_3",0.62,"Pretest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_covid_3",0.59,"Pretest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_real_general_14",0.32,"Pretest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_fake_general_14",0.35,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_24",0.31,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_2",0.79,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_21",0.63,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_4",0.35,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_27",0.83,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_19",0.61,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_covid_4",0.3,"Pretest","Fake","Covid","BadNewsGame",1,1,0,0,0
"S001","MIST_real_covid_7",0.66,"Pretest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_29",0.29,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_25",0.33,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_26",0.64,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_3",0.35,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_27",0.34,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_6",0.63,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_covid_4",0.61,"Pretest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_20",0.69,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_covid_7",0.36,"Pretest","Fake","Covid","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_23",0.29,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_11",0.35,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_22",0.29,"Pretest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_real_covid_6",0.62,"Pretest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_12",0.36,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_18",0.67,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_29",0.7,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_4",0.31,"Pretest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_fake_general_22",0.65,"Pretest","Fake","General","BadNewsGame",0,0,0,0,1
"S001","MIST_real_general_1",0.61,"Pretest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_6",0.27,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_7",0.28,"Pretest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_real_general_3",0.65,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_25",0.68,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_11",0.33,"Posttest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_fake_general_5",0.33,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_1",0.23,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_covid_9",0.67,"Posttest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_5",0.66,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_18",0.25,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_23",0.59,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_13",0.29,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_17",0.62,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_24",0.63,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_13",0.51,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_21",0.24,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_9",0.33,"Posttest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_fake_covid_1",0.66,"Posttest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_real_covid_5",0.67,"Posttest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_8",0.37,"Posttest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_fake_covid_5",0.62,"Posttest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_fake_general_30",0.31,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_covid_1",0.63,"Posttest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_real_covid_2",0.63,"Posttest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_20",0.29,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_16",0.2,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_7",0.31,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_covid_2",0.32,"Posttest","Fake","Covid","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_12",0.18,"Posttest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_real_general_31",0.71,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_26",0.24,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_covid_6",0.63,"Posttest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_fake_general_15",0.35,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_10",0.27,"Posttest","Real","General","BadNewsGame",0,0,0,1,0
"S001","MIST_fake_covid_10",0.61,"Posttest","Fake","Covid","BadNewsGame",0,0,0,0,1
"S001","MIST_real_general_15",0.65,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_17",0.26,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_8",0.27,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_real_general_28",0.63,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_general_16",0.65,"Posttest","Real","General","BadNewsGame",1,0,1,0,0
"S001","MIST_real_covid_10",0.65,"Posttest","Real","Covid","BadNewsGame",1,0,1,0,0
"S001","MIST_fake_general_28",0.25,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S001","MIST_fake_general_9",0.19,"Posttest","Fake","General","BadNewsGame",1,1,0,0,0
"S002","MIST_fake_general_26",0.63,"Pretest","Fake","General","BadNewsGame",0,0,0,0,1
"S002","MIST_fake_general_17",0.31,"Pretest","Fake","General","BadNewsGame",1,1,0,0,0
