"Participant","Condition","Item","Nature","Correct","True_Positive","True_Negative","False_Positive","False_Negative","Manipulative"
"S001","Pre-test","PRE_2","NonManipulative",0,0,1,0,0,0
"S001","Pre-test","PRE_11","NonManipulative",0,0,0,1,0,1
"S001","Pre-test","PRE_12","Manipulative",1,1,0,0,0,1
"S001","Pre-test","PRE_4","NonManipulative",0,0,1,0,0,0
"S001","Pre-test","PRE_3","Manipulative",1,1,0,0,0,1
"S001","Pre-test","PRE_9","NonManipulative",0,0,1,0,0,0
"S001","Pre-test","PRE_5","NonManipulative",0,0,0,1,0,1
"S001","Pre-test","PRE_1","Manipulative",1,1,0,0,0,1
"S001","Pre-test","PRE_8","Manipulative",1,1,0,0,0,1
"S001","Pre-test","PRE_6","Manipulative",1,1,0,0,0,1
"S001","Pre-test","PRE_10","Manipulative",1,1,0,0,0,1
"S001","Pre-test","PRE_7","NonManipulative",0,0,1,0,0,0
"S001","Post-test","POST_1","NonManipulative",0,0,1,0,0,0
"S001","Post-test","POST_4","NonManipulative",0,0,1,0,0,0
"S001","Post-test","POST_3","Manipulative",1,1,0,0,0,1
"S001","Post-test","POST_9","NonManipulative",0,0,1,0,0,0
"S001","Post-test","POST_6","Manipulative",1,1,0,0,0,1
"S001","Post-test","POST_11","NonManipulative",0,0,1,0,0,0
"S001","Post-test","POST_12","NonManipulative",0,0,0,1,0,1
"S001","Post-test","POST_8","Manipulative",1,1,0,0,0,1
"S001","Post-test","POST_7","Manipulative",1,1,0,0,0,1
"S001","Post-test","POST_10","Manipulative",1,1,0,0,0,1
"S001","Post-test","POST_5","NonManipulative",0,0,0,1,0,1
"S001","Post-test","POST_2","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_2","NonManipulative",0,0,0,1,0,1
"S002","Pre-test","PRE_11","NonManipulative",0,0,0,1,0,1
"S002","Pre-test","PRE_12","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_4","NonManipulative",0,0,0,1,0,1
"S002","Pre-test","PRE_3","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_9","NonManipulative",0,0,0,1,0,1
"S002","Pre-test","PRE_5","NonManipulative",0,0,0,1,0,1
"S002","Pre-test","PRE_1","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_8","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_6","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_10","Manipulative",1,1,0,0,0,1
"S002","Pre-test","PRE_7","NonManipulative",0,0,0,1,0,1
"S002","Post-test","POST_1","NonManipulative",0,0,1,0,0,0
"S002","Post-test","POST_4","NonManipulative",0,0,1,0,0,0
"S002","Post-test","POST_3","Manipulative",1,1,0,0,0,1
