"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_12","GCBS15_14","GCBS15_11","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","Political_IdeologyNumeric","VSA_Conservatism","VSA_Traditionalism","VSA_Authoritarianism","VSA_General","BFI_Agreeableness","BFI_Extraversion","BFI_Conscientiousness","BFI_Neuroticism","BFI_Openness","GCBS_GovernmentMalfeasance","GCBS_Extraterrestrial","GCBS_Malevolent","GCBS_Wellbeing","GCBS_Control","GCBS_General"
"S001","USA",50.1517666666667,"18/10/2024","07:57:25","chrome","false","Windows 10",1366,641,"Man","Master",68,"caucasian","Yes","likely",3,4,2,3,3,2,1,3,1,2,0.133916666666667,"Slightly Liberal","None or Independent",1,1,1,1,1,1,"Improved","BadNewsGame",24.80885,"17,436",1.78506666666667,"the options presented ","Yes","Yes, especially to my 16 year old daughter",3,2.5,2,2,2.16666666666667,4.5,2.5,3.5,2,2.5,1,1,1,1,1,1
"S002","USA",52.6269666666667,"18/10/2024","13:28:15","chrome","false","Windows 10",1054,569,"Woman","Bachelor",39,"Hispanic","Yes","unlikely",1,1,1,3,1,3,3,3,1,3,0.15975,"Slightly Liberal","Democrat",3,4,4,3,2,3,"Improved","BadNewsGame",21.1803166666667,"12454",4.76726666666667,"It was interesting to learn the strategies and angles that people use to exploit social media for monetary gains.","Maybe","Yes, but with disclosure. This can potentially backfire and instead influence people to be trolls for easy money.",3,5,1.5,6,4.16666666666667,2,4,4,2,4,1.66666666666667,3,1,1,3.66666666666667,2.06666666666667
"S003","USA",32.7096,"22/10/2024","12:18:06","chrome","false","Windows 10",1555,885,"Woman","Bachelor",65,"Caucasian","Yes","unlikely",3,3,0,3,1,3,0,4,1,3,0.0977,"Slightly Conservative","Republican",0,1,3,1,1,0,"No impact","Tetris",16.2745166666667,"5,193",0.5622,"when it was over","for money","no",5,4,5,3,4,4.5,3,5,2,4,0.333333333333333,0,1,0.333333333333333,1.66666666666667,0.666666666666667
"S005","USA",38.3289666666667,"18/10/2024","07:18:11","chrome","false","Windows 10",1366,599,"Woman","High School",59,"caucasian","No","very unlikely",4,0,1,4,4,0,3,3,0,1,0.466466666666667,"Extremely Conservative","Republican",1,3,4,4,3,4,"Improved","BadNewsGame",20.7203,"4000",0.467383333333333,"the great prompts","maybe","yes",7,5.5,8,6.5,6.66666666666667,1.5,1,4,1,1.5,3.33333333333333,1,4,3,3.33333333333333,2.93333333333333
"S006","USA",31.04645,"18/10/2024","07:10:57","chrome","false","Windows 10",1920,919,"Man","High School",35,"hispanic","Yes","likely",3,3,1,3,2,1,1,3,2,3,0.102133333333333,"Slightly Conservative","Republican",1,1,2,1,3,1,"Greatly improved","BadNewsGame",18.33215,"2300",0.589283333333333,"to ways it tried to explain what would be a better decision","yes","yes",5,3.5,3.5,3,3.33333333333333,4,2,4,2.5,3.5,1.33333333333333,1,1.33333333333333,2.33333333333333,1.33333333333333,1.46666666666667
"S007","USA",63.9785666666667,"18/10/2024","20:26:09","chrome","false","Chrome OS",1371,603,"Man","Bachelor",63,"Black American","Yes","likely",4,2,3,3,3,1,4,4,1,3,0.383766666666667,"Liberal","Democrat",3,4,3,2,3,3,"Improved","BadNewsGame",42.7560666666667,"4300",0.880383333333333,"Learning about the techniques","yes","yes",2,2,0.5,1.5,1.33333333333333,2,1.5,3.5,2,3,2.66666666666667,2.66666666666667,2.66666666666667,3,3,2.8
"S008","USA",41.6149333333333,"18/10/2024","06:52:44","chrome","false","Windows 10",1536,695,"Woman","Other",56,"Caucasian","No","very unlikely",0,4,0,4,0,4,3,4,3,4,0.405033333333333,"Extremely Conservative","Republican",4,4,4,4,4,4,"Slightly improved","BadNewsGame",19.3185,"700",0.871016666666667,"The interaction with the bot for ideas","probably not","no",7,4.5,0.5,8,4.33333333333333,3.5,5,5,2.5,5,4,4,4,3.66666666666667,4,3.93333333333333
"S009","USA",44.5496666666667,"18/10/2024","09:35:27","chrome","false","Windows 10",1498,1284,"Prefer not to answer","Bachelor",41,"African American","Unsure/Refuse to answer","likely",4,4,0,4,0,3,0,4,0,4,0.242433333333333,"Moderate","None or Independent",1,2,2,2,2,2,"No impact","BadNewsGame",16.2669333333333,"4195",0.543083333333333,"Seeing simulated input and response to posts","No","No",4,6,8,4.5,6.16666666666667,5,2.5,5,1,5,2,1.66666666666667,2,2,2,1.93333333333333
"S012","USA",52.8067166666667,"18/10/2024","05:16:31","chrome","false","Mac OS",1440,778,"Woman","Doctorate",55,"Caucasian","Yes","likely",1,2,3,3,1,3,1,3,1,3,0.415983333333333,"Liberal","Democrat",3,4,4,3,4,4,"Improved","BadNewsGame",28.0205666666667,"6.1 something? I really didn't look...",0.958233333333333,"Picking memes.","Yes","Maybe",2,1,1,2,1.33333333333333,3.5,4,3,2,4,3.33333333333333,3,3,3.66666666666667,4,3.4
"S013","USA",50.1297333333333,"18/10/2024","07:29:24","chrome","false","Windows 10",1920,969,"Man","Bachelor",61,"Caucasian","Yes","unlikely",3,3,3,3,0,3,0,4,3,4,0.382066666666667,"Slightly Conservative","None or Independent",2,2,1,0,1,1,"Improved","BadNewsGame",25.3336333333333,"19000",0.8424,"Choosing what to post","yes","yes",5,4,1.5,6,3.83333333333333,4.5,3,3.5,3,5,0.666666666666667,2.33333333333333,0,0.333333333333333,2,1.06666666666667
"S014","USA",39.0435,"18/10/2024","08:44:01","chrome","false","Windows 10",1114,511,"Woman","Bachelor",37,"latino","No","unlikely",4,0,2,3,1,0,4,4,4,3,0.145133333333333,"Conservative","Republican",4,4,4,3,4,3,"Slightly improved","BadNewsGame",22.0087333333333,"12,579",0.633233333333333,"conspiracy","yes","yes",6,6.5,4,6,5.5,1,1,4,3.5,4,3.66666666666667,3,3.33333333333333,3.66666666666667,3.66666666666667,3.46666666666667
"S015","USA",61.2090666666667,"18/10/2024","07:19:32","opera","false","Mac OS",1868,947,"Woman","Bachelor",56,"Ashkenazi","Yes","unlikely",3,2,1,3,0,2,2,4,0,4,0.24215,"Extremely Liberal","Democrat",0,1,2,2,0,2,"No impact","BadNewsGame",14.7397833333333,"16221",0.928016666666667,"nothing","no","no",1,0,0,0,0,3,2.5,4.5,1.5,5,2.33333333333333,0,2,0,1,1.06666666666667
"S016","USA",31.9429666666667,"18/10/2024","06:19:04","chrome","true","Android OS",980,1842,"Woman","High School",NA,"Caucasian ","No","likely",2,4,1,1,1,4,0,4,3,3,0.0897,"Moderate","None or Independent",2,3,3,3,3,3,"Improved","BadNewsGame",14.9875166666667,"15715",0.561883333333333,"Everything","Yes","Yes",4,5.5,4.5,6,5.33333333333333,5,4,4.5,4,4,3,2,2,2.66666666666667,3,2.53333333333333
"S017","USA",40.4370833333333,"04/11/2024","09:21:40","edge-chromium","false","Windows 10",1528,704,"Woman","Bachelor",68,"Caucasian","Yes","likely",3,3,0,2,0,3,3,4,2,3,0.183716666666667,"Moderate","None or Independent",1,2,2,2,2,2,"No impact","Tetris",13.9923666666667,"2514",0.464433333333333,"colors","yes","yes",4,3,3.5,3.5,3.33333333333333,3,3,5,3,4.5,2,1,2,1.66666666666667,1.66666666666667,1.66666666666667
