Participant,Experiment_Duration,Date_OSF,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Gender,Education,Age,Ethnicity,Intervention_Duration,BFI_Duration,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,VSA_Duration,VSA_1,VSA_2,VSA_3,VSA_4,VSA_5,VSA_6,ANES_Duration,ANES_1,ANES_2,GCBS_Duration,GCBS15_8,GCBS15_2,GCBS15_3,GCBS15_6,GCBS15_11,GCBS15_1,GCBS15_5,GCBS15_13,GCBS15_15,GCBS15_12,GCBS15_9,GCBS15_7,GCBS15_14,GCBS15_4,GCBS15_10,Intervention_Questions_Confidence,Intervention_Questions_Score,Intervention,Intervention_Questions_Duration,Intervention_Questions_Favorite,Intervention_Questions_Repeat,Intervention_Questions_Recommend,Consent_Duration,Waitdatasaving_Duration,MOCRI_BOLD_Duration,MOCRI_BOLD_MOCRI_BOLD_4_NonManipulative,MOCRI_BOLD_MOCRI_BOLD_10_Manipulative,MOCRI_BOLD_MOCRI_BOLD_9_NonManipulative,MOCRI_BOLD_MOCRI_BOLD_8_Manipulative,MOCRI_BOLD_MOCRI_BOLD_5_NonManipulative,MOCRI_BOLD_MOCRI_BOLD_11_NonManipulative,MOCRI_BOLD_MOCRI_BOLD_3_Manipulative,MOCRI_BOLD_MOCRI_BOLD_6_Manipulative,MOCRI_BOLD_MOCRI_BOLD_12_Manipulative,MOCRI_BOLD_MOCRI_BOLD_2_NonManipulative,MOCRI_BOLD_MOCRI_BOLD_7_NonManipulative,MOCRI_BOLD_MOCRI_BOLD_1_Manipulative,MOCRI_NONBOLD_Duration,MOCRI_NONBOLD_MOCRI_10_Manipulative,MOCRI_NONBOLD_MOCRI_6_Manipulative,MOCRI_NONBOLD_MOCRI_2_Manipulative,MOCRI_NONBOLD_MOCRI_7_Manipulative,MOCRI_NONBOLD_MOCRI_9_NonManipulative,MOCRI_NONBOLD_MOCRI_1_NonManipulative,MOCRI_NONBOLD_MOCRI_3_Manipulative,MOCRI_NONBOLD_MOCRI_5_NonManipulative,MOCRI_NONBOLD_MOCRI_11_NonManipulative,MOCRI_NONBOLD_MOCRI_12_NonManipulative,MOCRI_NONBOLD_MOCRI_4_NonManipulative,MOCRI_NONBOLD_MOCRI_8_Manipulative,MIST_Duration_Pre,MIST_Duration_Post
ntx88c43pw,44.54901666666667,2024-11-04 17:57:40.102303+00:00,04/11/2024,11:13:03,chrome,False,Windows 10,1920.0,953.0,Man,Other,36.0,Hispanic,21.721666666666668,0.7479833333333333,4.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,4.0,4.0,0.9930666666666668,2.0,2.0,0.0,6.0,4.0,4.0,0.24383333333333335,1.0,0.0,2.883583333333333,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,No impact,32315,Tetris,0.9110499999999999,Simple gameplay,No,No,0.5120166666666667,0.13038333333333335,2.8901166666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.1705166666666664,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.9144933333337315,4.4248916666666664
cc9x6sbyz1,40.35048333333334,2024-11-04 16:52:58.093680+00:00,04/11/2024,16:12:30,chrome,False,Windows 10,622.0,672.0,Woman,Bachelor,24.0,black american,9.869033333333334,1.63225,3.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0724166666666666,0.0,6.0,7.0,1.0,3.0,5.0,0.18433333333333335,7.0,1.0,4.120233333333333,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,No impact,1000,Tetris,0.9819166666666667,the sound,yes,yes,1.8200666666666665,0.15213333333333334,3.36415,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8836833333333334,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12.972113333336512,2.3777449999968217
k320cnq7w9,8.002516666666667,2024-11-04 16:30:06.147985+00:00,04/11/2024,11:22:02,chrome,False,Windows 10,1920.0,945.0,Man,High School,21.0,Hispanic,0.8988833333333334,0.3001,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.44665,5.0,5.0,1.0,6.0,1.0,7.0,0.11105000000000001,6.0,1.0,0.9289000000000001,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,No impact,76,BadNews,0.3455666666666667,Choice of prompts,No,No,0.040383333333333334,0.0485,1.22645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3406333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.4569249999999998,1.3788716666678589
f6w3h4a9sf,35.810100000000006,2024-11-04 16:23:27.259079+00:00,04/11/2024,09:47:35,chrome,False,Windows 10,2560.0,1277.0,Man,High School,52.0,White,19.687549999999998,0.8874333333333334,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,4.0,1.34995,4.0,4.0,4.0,4.0,4.0,4.0,0.15226666666666666,3.0,2.0,2.650316666666667,0.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,No impact,13000,Tetris,0.45795,nothing really,no,yes,0.28704999999999997,0.04486666666666667,1.2282666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1461166666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4854066666667665,2.8932699999998013
464kbygen5,29.242966666666668,2024-11-04 16:04:51.575065+00:00,04/11/2024,07:35:33,edge-chromium,False,Windows 10,1912.0,920.0,Man,Master,43.0,Multiracial,13.1381,0.48401666666666665,4.0,2.0,0.0,0.0,4.0,0.0,3.0,4.0,4.0,1.0,0.5354666666666666,5.0,1.0,0.0,8.0,8.0,0.0,0.16973333333333332,3.0,2.0,1.24035,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Slightly improved,18.513,BadNews,0.5105833333333334,The conversational style,Yes,Yes,0.07051666666666666,0.05245,6.4212,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.7664349999984106,2.2390099999984105
ruw76lyn49,73.10868333333333,2024-11-04 15:54:01.126563+00:00,04/11/2024,08:40:45,chrome,False,Windows 10,1280.0,665.0,Man,Master,36.0,hispanic,22.994633333333336,0.28476666666666667,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,12.148516666666666,6.0,7.0,6.0,6.0,5.0,5.0,0.13915,7.0,1.0,0.4403833333333333,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,Improved,3000,Tetris,1.35585,colors,yes,yes,31.01565,0.09996666666666668,0.48035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0074316666662693,1.0352449999998012
vqzpa3nr5a,29.798800000000004,2024-11-04 15:45:03.572080+00:00,04/11/2024,10:15:11,opera,False,Windows 10,1482.0,672.0,Woman,High School,23.0,Latino,14.452833333333333,0.4662833333333333,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,0.5459833333333334,7.0,1.0,0.0,8.0,4.0,1.0,0.12516666666666668,0.0,0.0,2.5273499999999998,1.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,3.0,0.0,3.0,No impact,69000,Tetris,0.29841666666666666,The music was cool,yes,No,0.06256666666666667,0.03691666666666667,1.6743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5481166666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.7688199999998013,3.861163333333532
uc0u68m518,33.68308333333333,2024-11-04 15:44:53.854754+00:00,04/11/2024,10:11:09,firefox,False,Windows 10,1370.0,1738.0,Woman,High School,37.0,Black,15.992600000000001,0.7738166666666667,4.0,1.0,3.0,0.0,1.0,0.0,4.0,3.0,4.0,4.0,0.72695,5.0,3.0,0.0,7.0,7.0,1.0,0.2971333333333333,0.0,0.0,1.6823833333333333,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,No impact,23975,Tetris,0.80725,The level ups,yes,yes,0.36489999999999995,0.11323333333333332,1.5115833333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2646166666666665,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.2217666666666664,4.013983333333333
5hssxw7rtk,66.52955,2024-11-04 15:42:20.372923+00:00,04/11/2024,14:33:09,chrome,False,Windows 10,1536.0,730.0,Man,Bachelor,25.0,Black,12.4299,1.1516333333333333,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,2.927133333333333,0.0,4.0,8.0,0.0,2.0,6.0,0.4480166666666667,6.0,1.0,7.608383333333333,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,No impact,5000,Tetris,1.1127166666666668,Game lay out,yes,yes,0.39385,0.09273333333333333,8.359516666666668,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.220116666666667,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,18.349816666666666,8.345658333333335
mlcxwn1kwp,32.910716666666666,2024-11-04 15:40:52.167831+00:00,04/11/2024,07:07:55,chrome,False,Windows 10,500.0,876.0,Man,Bachelor,65.0,asian,13.036016666666665,1.3894,4.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,0.5902166666666666,0.0,6.0,1.0,6.0,1.0,8.0,0.12758333333333333,6.0,1.0,1.71475,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,Improved,1650,Tetris,0.6433166666666666,speed of the tiles,yes,no,0.17723333333333333,0.050699999999999995,2.0659666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0094,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.753973333333339,5.418801666666661
