Participant,Item,Condition,MIST
ntx88c43pw,MIST_fake_covid_3,Pretest,78.0
ntx88c43pw,MIST_fake_general_8,Pretest,0.0
ntx88c43pw,MIST_fake_general_15,Pretest,20.0
ntx88c43pw,MIST_fake_general_10,Pretest,50.0
ntx88c43pw,MIST_real_general_4,Pretest,50.0
ntx88c43pw,MIST_real_general_3,Pretest,31.0
ntx88c43pw,MIST_real_general_21,Pretest,78.0
ntx88c43pw,MIST_real_covid_4,Pretest,23.0
ntx88c43pw,MIST_fake_general_3,Pretest,0.0
ntx88c43pw,MIST_real_general_30,Pretest,36.0
ntx88c43pw,MIST_real_general_22,Pretest,74.0
ntx88c43pw,MIST_fake_general_16,Pretest,0.0
ntx88c43pw,MIST_fake_general_1,Pretest,0.0
ntx88c43pw,MIST_real_general_7,Pretest,0.0
ntx88c43pw,MIST_fake_general_28,Pretest,0.0
ntx88c43pw,MIST_fake_covid_9,Pretest,0.0
ntx88c43pw,MIST_fake_general_7,Pretest,0.0
ntx88c43pw,MIST_real_covid_6,Pretest,75.0
ntx88c43pw,MIST_fake_covid_7,Pretest,78.0
ntx88c43pw,MIST_fake_general_2,Pretest,0.0
ntx88c43pw,MIST_fake_covid_1,Pretest,71.0
ntx88c43pw,MIST_fake_general_14,Pretest,0.0
ntx88c43pw,MIST_fake_covid_2,Pretest,23.0
ntx88c43pw,MIST_fake_general_21,Pretest,0.0
ntx88c43pw,MIST_real_general_1,Pretest,20.0
ntx88c43pw,MIST_real_covid_5,Pretest,73.0
ntx88c43pw,MIST_fake_general_19,Pretest,9.0
ntx88c43pw,MIST_real_general_8,Pretest,0.0
ntx88c43pw,MIST_real_general_11,Pretest,0.0
ntx88c43pw,MIST_fake_general_17,Pretest,0.0
ntx88c43pw,MIST_fake_general_13,Pretest,0.0
ntx88c43pw,MIST_real_general_9,Pretest,24.0
ntx88c43pw,MIST_real_general_6,Pretest,50.0
ntx88c43pw,MIST_real_general_28,Pretest,14.0
ntx88c43pw,MIST_real_covid_9,Pretest,78.0
ntx88c43pw,MIST_real_covid_1,Pretest,19.0
ntx88c43pw,MIST_real_general_12,Pretest,0.0
ntx88c43pw,MIST_real_general_29,Pretest,88.0
ntx88c43pw,MIST_fake_general_29,Pretest,0.0
ntx88c43pw,MIST_real_general_25,Pretest,85.0
ntx88c43pw,MIST_real_general_5,Posttest,30.0
ntx88c43pw,MIST_real_general_10,Posttest,76.0
ntx88c43pw,MIST_fake_general_20,Posttest,0.0
ntx88c43pw,MIST_real_general_14,Posttest,0.0
ntx88c43pw,MIST_fake_general_5,Posttest,0.0
ntx88c43pw,MIST_real_covid_10,Posttest,81.0
ntx88c43pw,MIST_fake_general_12,Posttest,0.0
ntx88c43pw,MIST_real_covid_8,Posttest,83.0
ntx88c43pw,MIST_real_general_19,Posttest,51.0
ntx88c43pw,MIST_real_general_26,Posttest,77.0
ntx88c43pw,MIST_real_general_2,Posttest,50.0
ntx88c43pw,MIST_fake_covid_5,Posttest,75.0
ntx88c43pw,MIST_fake_general_30,Posttest,16.0
ntx88c43pw,MIST_real_general_24,Posttest,80.0
ntx88c43pw,MIST_real_general_23,Posttest,73.0
ntx88c43pw,MIST_real_general_16,Posttest,84.0
ntx88c43pw,MIST_fake_general_9,Posttest,0.0
ntx88c43pw,MIST_real_general_13,Posttest,5.0
ntx88c43pw,MIST_fake_general_25,Posttest,0.0
ntx88c43pw,MIST_fake_general_24,Posttest,2.0
ntx88c43pw,MIST_fake_covid_10,Posttest,35.0
ntx88c43pw,MIST_fake_general_26,Posttest,7.0
ntx88c43pw,MIST_fake_general_18,Posttest,20.0
ntx88c43pw,MIST_real_covid_3,Posttest,80.0
ntx88c43pw,MIST_fake_general_6,Posttest,4.0
ntx88c43pw,MIST_real_general_17,Posttest,50.0
ntx88c43pw,MIST_real_general_27,Posttest,82.0
ntx88c43pw,MIST_fake_covid_8,Posttest,23.0
ntx88c43pw,MIST_fake_general_27,Posttest,0.0
ntx88c43pw,MIST_fake_general_11,Posttest,0.0
ntx88c43pw,MIST_fake_covid_6,Posttest,74.0
ntx88c43pw,MIST_fake_general_4,Posttest,0.0
ntx88c43pw,MIST_real_general_20,Posttest,50.0
ntx88c43pw,MIST_real_covid_7,Posttest,49.0
ntx88c43pw,MIST_fake_general_23,Posttest,0.0
ntx88c43pw,MIST_real_general_31,Posttest,50.0
ntx88c43pw,MIST_real_general_15,Posttest,0.0
ntx88c43pw,MIST_real_general_18,Posttest,40.0
ntx88c43pw,MIST_fake_general_22,Posttest,0.0
ntx88c43pw,MIST_real_covid_2,Posttest,82.0
ntx88c43pw,MIST_fake_covid_4,Posttest,0.0
cc9x6sbyz1,MIST_real_general_25,Pretest,84.0
cc9x6sbyz1,MIST_real_general_13,Pretest,0.0
cc9x6sbyz1,MIST_fake_covid_4,Pretest,23.0
cc9x6sbyz1,MIST_fake_covid_9,Pretest,100.0
cc9x6sbyz1,MIST_fake_general_28,Pretest,18.0
cc9x6sbyz1,MIST_real_covid_1,Pretest,0.0
cc9x6sbyz1,MIST_fake_general_4,Pretest,17.0
cc9x6sbyz1,MIST_fake_general_16,Pretest,0.0
cc9x6sbyz1,MIST_real_general_17,Pretest,2.0
cc9x6sbyz1,MIST_fake_general_21,Pretest,84.0
cc9x6sbyz1,MIST_fake_general_17,Pretest,0.0
cc9x6sbyz1,MIST_real_covid_4,Pretest,0.0
cc9x6sbyz1,MIST_real_general_7,Pretest,65.0
cc9x6sbyz1,MIST_fake_general_25,Pretest,0.0
cc9x6sbyz1,MIST_fake_general_3,Pretest,0.0
cc9x6sbyz1,MIST_real_covid_6,Pretest,72.0
cc9x6sbyz1,MIST_fake_general_18,Pretest,1.0
cc9x6sbyz1,MIST_real_general_24,Pretest,0.0
cc9x6sbyz1,MIST_real_general_8,Pretest,5.0
cc9x6sbyz1,MIST_fake_general_24,Pretest,1.0
cc9x6sbyz1,MIST_fake_covid_1,Pretest,0.0
cc9x6sbyz1,MIST_real_general_28,Pretest,26.0
cc9x6sbyz1,MIST_fake_general_2,Pretest,0.0
cc9x6sbyz1,MIST_real_covid_3,Pretest,42.0
cc9x6sbyz1,MIST_fake_general_14,Pretest,0.0
cc9x6sbyz1,MIST_fake_general_26,Pretest,0.0
cc9x6sbyz1,MIST_fake_general_23,Pretest,64.0
cc9x6sbyz1,MIST_real_general_27,Pretest,0.0
cc9x6sbyz1,MIST_real_general_14,Pretest,0.0
cc9x6sbyz1,MIST_real_general_16,Pretest,1.0
cc9x6sbyz1,MIST_real_general_9,Pretest,67.0
cc9x6sbyz1,MIST_fake_covid_3,Pretest,0.0
cc9x6sbyz1,MIST_fake_general_5,Pretest,0.0
cc9x6sbyz1,MIST_fake_general_29,Pretest,0.0
cc9x6sbyz1,MIST_real_general_5,Pretest,0.0
cc9x6sbyz1,MIST_real_general_20,Pretest,0.0
cc9x6sbyz1,MIST_real_general_15,Pretest,100.0
cc9x6sbyz1,MIST_real_covid_2,Pretest,98.0
cc9x6sbyz1,MIST_real_general_30,Pretest,0.0
cc9x6sbyz1,MIST_fake_covid_5,Pretest,41.0
cc9x6sbyz1,MIST_real_general_4,Posttest,19.0
cc9x6sbyz1,MIST_fake_general_8,Posttest,98.0
cc9x6sbyz1,MIST_real_covid_10,Posttest,74.0
cc9x6sbyz1,MIST_fake_general_1,Posttest,8.0
cc9x6sbyz1,MIST_fake_general_13,Posttest,69.0
cc9x6sbyz1,MIST_fake_general_19,Posttest,11.0
cc9x6sbyz1,MIST_fake_general_11,Posttest,16.0
cc9x6sbyz1,MIST_real_covid_9,Posttest,19.0
cc9x6sbyz1,MIST_fake_general_12,Posttest,8.0
cc9x6sbyz1,MIST_real_general_29,Posttest,7.0
cc9x6sbyz1,MIST_fake_general_6,Posttest,17.0
cc9x6sbyz1,MIST_real_general_31,Posttest,83.0
cc9x6sbyz1,MIST_fake_covid_8,Posttest,86.0
cc9x6sbyz1,MIST_fake_general_15,Posttest,91.0
cc9x6sbyz1,MIST_real_covid_8,Posttest,90.0
cc9x6sbyz1,MIST_real_covid_7,Posttest,0.0
cc9x6sbyz1,MIST_real_general_6,Posttest,11.0
cc9x6sbyz1,MIST_fake_general_27,Posttest,1.0
cc9x6sbyz1,MIST_real_general_11,Posttest,0.0
cc9x6sbyz1,MIST_fake_general_20,Posttest,84.0
cc9x6sbyz1,MIST_real_general_23,Posttest,5.0
cc9x6sbyz1,MIST_real_general_2,Posttest,13.0
cc9x6sbyz1,MIST_real_general_26,Posttest,6.0
cc9x6sbyz1,MIST_real_general_18,Posttest,9.0
cc9x6sbyz1,MIST_real_general_12,Posttest,11.0
cc9x6sbyz1,MIST_real_general_1,Posttest,7.0
cc9x6sbyz1,MIST_fake_covid_7,Posttest,10.0
cc9x6sbyz1,MIST_fake_general_22,Posttest,10.0
cc9x6sbyz1,MIST_real_general_22,Posttest,96.0
cc9x6sbyz1,MIST_fake_general_7,Posttest,0.0
cc9x6sbyz1,MIST_real_general_21,Posttest,1.0
cc9x6sbyz1,MIST_fake_general_30,Posttest,88.0
cc9x6sbyz1,MIST_real_covid_5,Posttest,0.0
cc9x6sbyz1,MIST_fake_covid_10,Posttest,5.0
cc9x6sbyz1,MIST_fake_general_10,Posttest,10.0
cc9x6sbyz1,MIST_fake_covid_2,Posttest,99.0
cc9x6sbyz1,MIST_real_general_3,Posttest,50.0
cc9x6sbyz1,MIST_fake_general_9,Posttest,4.0
cc9x6sbyz1,MIST_fake_covid_6,Posttest,10.0
cc9x6sbyz1,MIST_real_general_19,Posttest,2.0
cc9x6sbyz1,MIST_real_general_10,Posttest,4.0
k320cnq7w9,MIST_fake_general_4,Pretest,62.0
k320cnq7w9,MIST_fake_general_28,Pretest,56.0
k320cnq7w9,MIST_fake_general_24,Pretest,78.0
k320cnq7w9,MIST_real_covid_8,Pretest,65.0
k320cnq7w9,MIST_fake_general_12,Pretest,60.0
k320cnq7w9,MIST_real_covid_9,Pretest,9.0
k320cnq7w9,MIST_fake_general_22,Pretest,30.0
k320cnq7w9,MIST_fake_covid_9,Pretest,73.0
k320cnq7w9,MIST_real_general_13,Pretest,67.0
k320cnq7w9,MIST_fake_general_23,Pretest,63.0
k320cnq7w9,MIST_real_general_9,Pretest,75.0
k320cnq7w9,MIST_real_general_30,Pretest,86.0
k320cnq7w9,MIST_real_general_24,Pretest,67.0
k320cnq7w9,MIST_real_general_28,Pretest,66.0
k320cnq7w9,MIST_fake_covid_1,Pretest,65.0
k320cnq7w9,MIST_fake_general_13,Pretest,32.0
k320cnq7w9,MIST_fake_general_20,Pretest,33.0
k320cnq7w9,MIST_fake_covid_8,Pretest,39.0
k320cnq7w9,MIST_fake_general_7,Pretest,37.0
k320cnq7w9,MIST_fake_general_19,Pretest,44.0
k320cnq7w9,MIST_fake_covid_2,Pretest,42.0
k320cnq7w9,MIST_real_general_3,Pretest,37.0
k320cnq7w9,MIST_real_general_31,Pretest,38.0
k320cnq7w9,MIST_real_covid_7,Pretest,39.0
k320cnq7w9,MIST_fake_general_18,Pretest,37.0
k320cnq7w9,MIST_real_general_25,Pretest,60.0
k320cnq7w9,MIST_real_general_5,Pretest,39.0
k320cnq7w9,MIST_fake_general_16,Pretest,60.0
k320cnq7w9,MIST_real_general_19,Pretest,56.0
k320cnq7w9,MIST_real_covid_4,Pretest,56.0
k320cnq7w9,MIST_fake_general_1,Pretest,63.0
k320cnq7w9,MIST_real_covid_2,Pretest,54.0
k320cnq7w9,MIST_real_general_22,Pretest,40.0
k320cnq7w9,MIST_real_general_2,Pretest,55.0
k320cnq7w9,MIST_fake_covid_7,Pretest,55.0
k320cnq7w9,MIST_real_general_14,Pretest,55.0
k320cnq7w9,MIST_fake_general_29,Pretest,54.0
k320cnq7w9,MIST_real_general_26,Pretest,55.0
k320cnq7w9,MIST_fake_general_9,Pretest,57.0
k320cnq7w9,MIST_real_general_27,Pretest,55.0
k320cnq7w9,MIST_fake_general_2,Posttest,74.0
k320cnq7w9,MIST_real_general_20,Posttest,69.0
k320cnq7w9,MIST_fake_general_11,Posttest,30.0
k320cnq7w9,MIST_real_general_6,Posttest,34.0
k320cnq7w9,MIST_fake_covid_10,Posttest,24.0
k320cnq7w9,MIST_fake_general_6,Posttest,34.0
k320cnq7w9,MIST_real_general_4,Posttest,38.0
k320cnq7w9,MIST_real_general_29,Posttest,31.0
k320cnq7w9,MIST_real_general_8,Posttest,39.0
k320cnq7w9,MIST_fake_general_3,Posttest,38.0
k320cnq7w9,MIST_fake_covid_3,Posttest,68.0
k320cnq7w9,MIST_real_covid_6,Posttest,58.0
k320cnq7w9,MIST_fake_general_30,Posttest,40.0
k320cnq7w9,MIST_fake_general_26,Posttest,59.0
k320cnq7w9,MIST_fake_general_5,Posttest,58.0
k320cnq7w9,MIST_real_general_18,Posttest,57.0
k320cnq7w9,MIST_real_general_10,Posttest,58.0
k320cnq7w9,MIST_fake_covid_5,Posttest,43.0
k320cnq7w9,MIST_real_general_17,Posttest,59.0
