"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI_Duration","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","VSA_Duration","VSA_1","VSA_2","VSA_3","VSA_4","VSA_5","VSA_6","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS_Duration","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_8","GCBS15_2","GCBS15_1","GCBS15_12","GCBS15_14","GCBS15_3","GCBS15_9","GCBS15_7","GCBS15_4","GCBS15_11","GCBS15_5","GCBS15_6","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","MOCRI_PRE_2_NonManipulative","MOCRI_PRE_11_NonManipulative","MOCRI_PRE_12_Manipulative","MOCRI_PRE_4_NonManipulative","MOCRI_PRE_3_Manipulative","MOCRI_PRE_9_NonManipulative","MOCRI_PRE_5_NonManipulative","MOCRI_PRE_1_Manipulative","MOCRI_PRE_8_Manipulative","MOCRI_PRE_6_Manipulative","MOCRI_PRE_10_Manipulative","MOCRI_PRE_7_NonManipulative","MOCRI_POST_1_NonManipulative","MOCRI_POST_4_NonManipulative","MOCRI_POST_3_Manipulative","MOCRI_POST_9_NonManipulative","MOCRI_POST_6_Manipulative","MOCRI_POST_11_NonManipulative","MOCRI_POST_12_NonManipulative","MOCRI_POST_8_Manipulative","MOCRI_POST_7_Manipulative","MOCRI_POST_10_Manipulative","MOCRI_POST_5_NonManipulative","MOCRI_POST_2_Manipulative"
"S001","USA",50.1517666666667,"18/10/2024","07:57:25","chrome","false","Windows 10",1366,641,"Man","Master",68,"caucasian","Yes","likely",0.709316666666667,3,4,2,3,3,2,1,3,1,2,0.865033333333333,5,2,2,6,6,2,0.133916666666667,"Slightly Liberal","None or Independent",1.86318333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Improved","BadNewsGame",24.80885,"17,436",1.78506666666667,"the options presented ","Yes","Yes, especially to my 16 year old daughter",1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"S002","USA",52.6269666666667,"18/10/2024","13:28:15","chrome","false","Windows 10",1054,569,"Woman","Bachelor",39,"Hispanic","Yes","unlikely",1.50361666666667,1,1,1,3,1,3,3,3,1,3,4.98448333333333,3,5,1,6,3,7,0.15975,"Slightly Liberal","Democrat",3.10035,3,4,4,3,0,1,3,2,3,0,0,1,3,3,1,"Improved","BadNewsGame",21.1803166666667,"12454",4.76726666666667,"It was interesting to learn the strategies and angles that people use to exploit social media for monetary gains.","Maybe","Yes, but with disclosure. This can potentially backfire and instead influence people to be trolls for easy money.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"S003","USA",32.7096,"22/10/2024","12:18:06","chrome","false","Windows 10",1555,885,"Woman","Bachelor",65,"Caucasian","Yes","unlikely",0.5746,3,3,0,3,1,3,0,4,1,3,0.903666666666667,3,3,5,3,5,3,0.0977,"Slightly Conservative","Republican",1.79581666666667,0,1,3,0,1,0,1,1,0,0,1,0,0,1,1,"No impact","Tetris",16.2745166666667,"5,193",0.5622,"when it was over","for money","no",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"S004","USA",28.8362,"18/10/2024","07:55:57","chrome","false","Windows 10",1536,695,"Woman","High School",72,"Caucasian","Yes","likely",0.4995,1,4,0,4,0,4,1,4,0,4,0.53735,6,1,2,6,7,1,0.111283333333333,"Liberal","Democrat",1.1755,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"No impact","Tetris",11.9368333333333,"1800",0.766116666666667,"getting points for a line","no","no",0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S005","USA",38.3289666666667,"18/10/2024","07:18:11","chrome","false","Windows 10",1366,599,"Woman","High School",59,"caucasian","No","very unlikely",0.825866666666667,4,0,1,4,4,0,3,3,0,1,0.773033333333333,0,3,8,0,2,7,0.466466666666667,"Extremely Conservative","Republican",1.41036666666667,1,3,4,1,4,3,4,3,1,3,4,3,4,3,3,"Improved","BadNewsGame",20.7203,"4000",0.467383333333333,"the great prompts","maybe","yes",0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0
"S006","USA",31.04645,"18/10/2024","07:10:57","chrome","false","Windows 10",1920,919,"Man","High School",35,"hispanic","Yes","likely",0.354916666666667,3,3,1,3,2,1,1,3,2,3,3.62116666666667,5,4,5,6,6,4,0.102133333333333,"Slightly Conservative","Republican",0.8683,1,1,2,1,2,2,1,3,1,3,1,1,1,1,1,"Greatly improved","BadNewsGame",18.33215,"2300",0.589283333333333,"to ways it tried to explain what would be a better decision","yes","yes",1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1
"S007","USA",63.9785666666667,"18/10/2024","20:26:09","chrome","false","Chrome OS",1371,603,"Man","Bachelor",63,"Black American","Yes","likely",1.04678333333333,4,2,3,3,3,1,4,4,1,3,0.897916666666667,6,2,1,8,7,2,0.383766666666667,"Liberal","Democrat",2.05711666666667,3,4,3,3,3,3,2,3,2,3,3,3,3,2,2,"Improved","BadNewsGame",42.7560666666667,"4300",0.880383333333333,"Learning about the techniques","yes","yes",0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0
"S008","USA",41.6149333333333,"18/10/2024","06:52:44","chrome","false","Windows 10",1536,695,"Woman","Other",56,"Caucasian","No","very unlikely",0.893283333333333,0,4,0,4,0,4,3,4,3,4,1.5386,4,5,1,8,0,8,0.405033333333333,"Extremely Conservative","Republican",1.97646666666667,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,"Slightly improved","BadNewsGame",19.3185,"700",0.871016666666667,"The interaction with the bot for ideas","probably not","no",1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1
"S009","USA",44.5496666666667,"18/10/2024","09:35:27","chrome","false","Windows 10",1498,1284,"Prefer not to answer","Bachelor",41,"African American","Unsure/Refuse to answer","likely",0.727666666666667,4,4,0,4,0,3,0,4,0,4,0.67035,0,4,8,0,3,4,0.242433333333333,"Moderate","None or Independent",1.62855,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"No impact","BadNewsGame",16.2669333333333,"4195",0.543083333333333,"Seeing simulated input and response to posts","No","No",1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S010","USA",16.9095833333333,"18/10/2024","06:41:06","edge-chromium","false","Windows 10",1912,954,"Man","Bachelor",26,"caucasian","No","likely",0.468066666666667,3,2,1,2,1,3,1,3,2,3,0.770183333333333,4,3,2,8,5,4,0.14575,"Slightly Liberal","None or Independent",1.50396666666667,2,3,3,3,3,3,2,3,3,2,2,3,3,4,3,"Greatly improved","BadNewsGame",4.44873333333333,"12000",0.65955,"the options and choices were entertaining","yes","yes",1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
